folio B,Iliad line B,folio Upsilon,Iliad line Upsilon
41r,,40r,3.10
41r,,40r,3.15
41v,3.21,40v,3.21
41v,3.30,40v,3.30
41v,3.33,40v,3.33
41v,3.38,40v,3.38
42r,3.58,41r,3.58
42v,3.76,41v,3.76
43r,3.81,42r,3.81
43r,3.84,42r,3.84
43r,3.96,42r,3.96
43v,3.111,42v,3.111
44r,3.121,43r,3.121
44v,3.139,43v,3.139
44v,3.146,43v,3.146
44v,3.154,43v,3.154
44v,3.161,43v,3.161
45r,3.171,44r,3.171
45r,3.181,44r,3.181
45v,3.199,44v,3.199
45v,,44v,3.203
46r,,45r,3.225
46r,3.228,45r,3.228
46v,3.243,45v,3.243
47r,3.259,46r,3.259
47r,3.264,46r,
47r,,46r,3.267
47r,3.271,46r,3.271
47r,,46r,3.275
47v,3.292,46v,3.292
47v,,46v,3.298
47v,3.302,46v,3.302
47v,3.305,46v,3.305
48r,3.314,47r,3.314
48r,,47r,3.319
48r,3.324,47r,3.324
48r,,47r,3.328
48v,3.340,47v,
48v,,47v,3.346
48v,3.350,47v,
48v,,47v,3.351
48v,,47v,3.355
49r,3.365,48r,3.365
49r,3.369,48r,3.369
49r,,48r,3.377
49r,,48r,3.379
49v,3.396,48v,3.396
49v,,48v,3.399
50r,,49r,3.413
50r,3.414,49r,
50r,3.418,49r,3.418
50v,3.437,49v,3.437
50v,3.447,49v,3.447
51r,,50r,3.455
51r,,50r,3.461
51r,3.462,50r,3.462
51r,4.1,50r,4.1
51r,,50r,4.5
51v,4.13,50v,4.13
51v,4.20,50v,4.20
