AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.17_43,urn:cts:greekLit:tlg5026.msA.hmt:17.35,"ἀκάχητα",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.75
urn:cite:hmt:reuse.17_44,urn:cts:greekLit:tlg5026.msA.hmt:17.36,"ἀντι τοῦ τὸν ἐν τοῖς ἄριστον",urn:cite:hmt:reusetype.quote3,
urn:cite:hmt:reuse.17_45,urn:cts:greekLit:tlg5026.msA.hmt:17.37,"ἕνεκα ἐμοῦ κεῖται τιμωρούμενος τοὺς Τρωας",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.92
urn:cite:hmt:reuse.17_46,urn:cts:greekLit:tlg5026.msA.hmt:17.37,"τιμὴ",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_47,urn:cts:greekLit:tlg5026.msA.hmt:17.37,"τιμωρίας",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_48,urn:cts:greekLit:tlg5026.msA.hmt:17.38,"εὐλαβοῦμαι",urn:cite:hmt:reusetype.quote3,
urn:cite:hmt:reuse.17_49,urn:cts:greekLit:tlg5026.msA.hmt:17.38,"αἰδεσθεις",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.95
urn:cite:hmt:reuse.17_50,urn:cts:greekLit:tlg5026.msA.hmt:17.38,"πολὺ",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.95
urn:cite:hmt:reuse.17_51,urn:cts:greekLit:tlg5026.msA.hmt:17.38,"μή τις μοι Δαναῶν",urn:cite:hmt:reusetype.,urn:cts:greekLit:tlg0012.tlg001.msA:17.95
urn:cite:hmt:reuse.17_52,urn:cts:greekLit:tlg5026.msA.hmt:17.38,"εὐλαβοῦμαι μή με τῶν Ἑλλήνων μέμψηταί τις τὸν αὐτὸν τρόπον καὶ ἐνθαδε, ἐὰν δὲ μόνος ὦν καὶ Τρωσὶ μάχωμαι αἰδεσθεὶς.εὐλαβοῦμαι εὐλαβοῦμοι μή πως με περιστήωσ' ἕνα πολλοὶ ὄντες",urn:cite:hmt:reusetype.quote3,
urn:cite:hmt:reuse.17_53,urn:cts:greekLit:tlg5026.msA.hmt:17.41,"προς δαίμονα",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.98
urn:cite:hmt:reuse.17_54,urn:cts:greekLit:tlg5026.msA.hmt:17.41,"πρὸς κῦμα ἐναντιούμενος δαίμονι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_55,urn:cts:greekLit:tlg5026.msA.hmt:17.41,"μη θαύμαζε γάρ ἠ ϊέρακες μὲν καὶ ἴβεις ἔχουσι τοὺς ὑπερασπίζοντας θεοὺς ἀνδρὸς δὲ ἀγαθοῦ οὐκ ἄν τις ὑπερασπίσαι·",urn:cite:hmt:reusetype.quote2,
urn:cite:hmt:reuse.17_56,urn:cts:greekLit:tlg5026.msA.hmt:17.43,"τιμᾷ",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.99
urn:cite:hmt:reuse.17_57,urn:cts:greekLit:tlg5026.msA.hmt:17.43,"παρὰ του θεοῦ γνώμην",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_58,urn:cts:greekLit:tlg5026.msA.hmt:17.47,"δίωνται",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.110
urn:cite:hmt:reuse.17_59,urn:cts:greekLit:tlg5026.msA.hmt:17.47,"δίημι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_60,urn:cts:greekLit:tlg5026.msA.hmt:17.52,"Πάτροκλον ἐπεὶ κλυτὰ· τευχε' ἀπηύρα",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.125
urn:cite:hmt:reuse.17_61,urn:cts:greekLit:tlg5026.msA.hmt:17.52,"Πάτροκλου",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.125
urn:cite:hmt:reuse.17_62,urn:cts:greekLit:tlg5026.msA.hmt:17.55,"ᾧ ῥά τε νήπι' ἄγοντι",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.134
urn:cite:hmt:reuse.17_63,urn:cts:greekLit:tlg5026.msA.hmt:17.55,"ᾔ ρα τε νήπι' ἀγούσῃ",urn:cite:hmt:reusetype.,urn:cts:greekLit:tlg0012.tlg001.msA:17.134
